Day,Virus
263.197,89077391360
264.068,122417528832
265.138,77474635776
266.058,75629133824
267.077,44702695424
267.990,17136524288
269.018,37147000832
269.989,37095628800
271.113,33046226944
272.079,17036961792
273.052,19507296256
273.977,38606229504
274.998,32863801344
276.073,42166194176
277.044,40231055360
278.017,54034763776
