Day,DRP
263.095,0.354081
264.994,0.429431
266.066,0.261998
267.042,0.322451
268.016,0.312015
269.040,0.266120
270.014,0.240495
271.041,0.280678
272.014,0.244925
272.990,0.305378
274.017,0.325307
274.944,0.456663
275.976,0.643684
277.008,0.845895
278.030,0.724049
